"","C_height","LDMC","LDW","SLA","LNC","LCC","Flowering_period","Flowering_start","Lateral_spread","CHMH","Succulence","Clonality","NecroPersi"
"Achillea_moschata",100.2,25.3,5.3,16.6,2.2,45.2,2,5,4,0.8,2.1,1,0
"Adenostyles_leucophylla",358,17.1,116.5,21.4,3.2,46.7,2,5,2,0.71,2.3,0,0
"Agrostis_rupestris",84.8,29.2,3.2,11.9,1.7,46.2,1,5,3,0.56,2.1,2,2
"Agrostis_schraderiana",325.8,39.4,12,24.6,1.8,47.1,1,6,2,0.69,0.7,2,1
"Antennaria_dioica",16.6,32,3,13.6,1.4,48.3,2,4,4,0.16,1.6,1,2
"Anthoxanthum_odoratum",76,47,14.2,21.8,1.9,47.7,1,5,2,0.39,0.5,2,2
"Arabis_alpina",20.2,13.6,3.4,26.9,3.2,41.4,1,5,4,0.16,2.5,0,0
"Avenula_versicolor",123.4,37.5,33.8,9.8,1.6,46.4,1,5,3,0.4,1.7,1,2
"Cardamine_bellidifolia",32,13.8,1.7,32.4,4.6,43.1,1,5,2,0.55,2.1,0,0
"Cardamine_resedifolia",23.6,25.9,3.7,16.2,3.6,45.4,2,5,2,0.67,1.8,0,0
"Carex_curvula",66,48.9,14.6,9.3,1.2,46.9,1,5,3,0.35,1.3,2,2
"Carex_sempervirens",179.6,39.4,33.6,13.7,2.2,47.3,1,5,3,0.54,1.2,2,2
"Cerastium_uniflorum",15.6,16.2,2.2,37.6,3.5,41.8,2,5,2,0.71,1.4,1,1
"Epilobium_fleischeri",115.2,21.3,5.6,12,1.5,45.3,1,6,3,0.73,3,1,2
"Erigeron_uniflorus",44,18.9,1.6,27.8,2.3,46.1,1,5,2,0.53,1.6,0,1
"Euphrasia_minima",42.6,18.1,1.3,30.1,2.5,44.8,1,6,2,0.79,1.5,1,0
"Festuca_halleri",85.6,42.2,4.6,10.8,1.3,45.5,1,5,3,0.59,1.3,2,2
"Gnaphalium_supinum",11.6,37.3,0.7,25.1,1.9,47.7,1,5,4,0.32,0.7,2,2
"Hieracium_angustifolium",34,24.8,8,15.2,1.6,46,1,5,2,0.23,2,1,0
"Homogyne_alpina",36,26.6,39.9,9.9,2.3,46.3,1,4,2,0.16,2.8,1,0
"Juncus_trifidus",161,44.2,11.8,7.8,1.4,47.5,2,5,3,0.92,2,2,1
"Leontodon_helveticus",93,23.4,27,14.8,2.9,45.6,1,5,2,0.47,2.3,0,0
"Leucanthemopsis_alpina",32.8,16.4,2.4,18.2,2.6,44.7,2,5,4,0.38,3,1,2
"Linaria_alpina",26.4,17.5,0.6,24.6,2.5,44.9,1,5,4,0.65,2.1,1,0
"Lotus_corniculatus",35,24.6,3.1,25.2,4.4,46.9,2,5,5,0.73,1.5,1,2
"Luzula_alpinopilosa",151.6,17.9,13.9,29.1,2.9,46.9,2,5,2,0.55,1.6,2,2
"Luzula_lutea",79,33.5,21.7,13.2,2.4,47.5,1,5,2,0.3,1.5,2,2
"Luzula_spicata",35.4,33.3,3.3,10.1,1.6,46.7,1,5,3,0.28,2,2,2
"Minuartia_recurva",8.8,27.4,0.2,18.6,1.6,41.7,2,5,3,0.27,1.5,1,2
"Myosotis_alpestris",45,27.3,10,16.2,1.5,44.8,2,5,2,0.49,2.3,0,2
"Oxyria_digyna",76.4,10,12.3,29.5,4.7,45.4,1,5,4,0.51,3.2,0,0
"Pedicularis_kerneri",47,26.2,25.2,10.4,2.9,46.4,1,5,2,0.56,2.8,0,0
"Phleum_rhaeticum",399.6,35.9,54.4,18.4,1.4,47.7,1,5,2,0.82,1,2,1
"Phyteuma_hemisphaericum",74,19.9,2,21.3,2.7,48.9,2,4,2,0.78,2.1,0,1
"Poa_alpina",36.2,34.3,29.6,11.1,1.3,45.8,2,5,3,0.19,1.7,2,2
"Ranunculus_glacialis",46,14.2,18.8,14.1,1.7,44.3,2,4,4,0.84,4.3,1,0
"Ranunculus_kuepferi",93,21.5,18.1,12.2,3.6,47.7,1,4,3,0.61,3,0,1
"Saxifraga_aizoides",55,22.3,1.4,13.3,1.3,47.4,2,5,4,0.44,2.7,1,0
"Saxifraga_bryoides",4.6,32.4,0.2,15.3,1.8,44,2,5,3,0.08,1.8,2,2
"Senecio_incanus",46,24.6,18.1,10.1,1.7,48.8,1,6,2,0.51,3.1,1,2
"Silene_acaulis",7.6,25.5,0.1,28.1,1.1,44.9,1,5,3,0.62,1.1,2,2
"Trifolium_badium",155.2,24,15.4,19.6,2.6,45.7,2,4,3,0.84,1.6,1,2
"Trifolium_pallescens",32,23.9,7.4,13.9,2.4,42.7,2,4,3,0.7,2.3,1,2
"Tussilago_farfara",102,14.5,90.2,17.4,3.2,39.5,1,5,2,0.42,3.4,1,0
"Veronica_bellidioides",19,35.8,15.7,9.1,0.7,49.4,2,5,4,0.25,2,0,2
