code,0,1,2
111,-0.3322527591148351,-0.049805048962910346,0.29914510637358416
113,-0.19571861395079046,0.016435638107821008,0.17680053782407032
114,0.02924594508982843,0.04247702376930093,-0.13296438312927344
116,-0.05303010048401506,0.129309997367576,-0.18631787111367554
121,0.06674899009180321,0.06627873515877983,-0.30736912844129255
211,-0.10383891171155775,0.05862740828362467,0.045091263733653374
214,-0.16364527957800298,0.00743055620985498,0.16414073047657915
215,-0.05313997287983307,0.06853962671777411,-0.03690763054911027
216,-0.2410352282714865,0.0517423510798912,0.16629220883511403
224,-0.005736656943305616,0.07687399752373268,-0.13889892461086256
241,-0.228160468500629,-0.028175310456694424,0.23737201466998378
242,-0.16573463450253034,0.0023467772601051783,0.1709518089467418
243,-0.26389300947608735,-0.013390475928544813,0.24310396523341782
247,-0.15549411205992292,0.007141910085639005,0.15842691374412826
249,-0.3752056802879581,-0.06108832779280378,0.32093919645267727
312,-0.11793950345522633,-0.01117704394821061,0.14808733856257536
324,0.041040666702791384,0.07377627593419198,-0.24748731920641828
331,0.017182399113825887,0.0720804455242094,-0.1781788491127691
341,-0.23461824283667915,-0.03437125414917911,0.24575212821727213
342,-0.18798964363828222,-0.027363334624841515,0.21379279456764308
351,-0.08477461970537485,0.110674386458539,-0.07908636512435972
353,-0.15269132644324868,0.02894102111959143,0.13154194561775312
411,0.01566489753584235,0.05793351807639951,-0.13874661516471176
511,0.07840916452345482,0.042277506631956174,-0.2685901722640496
521,0.20093730383143324,-0.05121488172747791,-0.5864703823060483
522,0.14798300525535044,-0.007957475850727662,-0.3982136123064548
523,0.09926133663073917,0.03485801987104747,-0.3223765877345293
525,0.11038765979647956,0.025107874002540016,-0.3352550108577354
541,0.09283334885344294,-0.0652628093506494,-0.07400951952702126
542,0.04124833365885717,0.050954839747466486,-0.18249409272630837
612,0.020379324706759107,0.07243877333433561,-0.18701720074970363
811,0.23261301130980444,-0.11038150512550207,-0.6105282330176274
812,0.20288289106682567,-0.06671763621307468,-0.5295449464171007
813,0.18341425448600193,-0.038066566180242706,-0.5019845334465218
814,0.18281841156982834,-0.04261592533759066,-0.47818909597048653
816,0.19265710870116337,-0.05252988921983294,-0.5091964324949002
822,0.1822557447873057,-0.05152280998316503,-0.43948767498229196
823,-0.021835080083222703,0.06731211013740916,-0.08551115699743111
911,0.1522702634991736,0.01305152658102144,-0.5167139682145637
913,0.22764990970877652,-0.10701652402941951,-0.5750635964253287
925,0.17460400733487294,-0.03866484152683999,-0.4388097411567772
